name,type,address,region,sido,sigungu,lat,lng,precision,opened,note,source_url,matched
포항 모바일 캠프,캠프,포항시 남구 일월동 190-76,경북,경상북도,포항시남구,35.991767,129.427567,,,,,경북 포항시 남구 일월동 190-76
풍산 캠프,캠프,경기도 하남시 풍산동 598-3,경기남부,경기도,하남시,37.549225,127.191726,,,,,경기 하남시 풍산동 598-3
학천 모바일 캠프,캠프,청주시 흥덕구 강내면 청주역로 231,충북,충청북도,청주시흥덕구,36.635798,127.385234,,,,,충북 청주시 흥덕구 강내면 청주역로 231
한강로 캠프,캠프,서울시 용산구 한강대로21나길 10 (용산역 도보 5분) (무료주차가능),서울,서울특별시,용산구,37.527565,126.963517,,,,,서울 용산구 한강대로21나길 10
합성 모바일 캠프,캠프,경상남도 창원시 마산회원구 합성동 132-8,경남,경상남도,창원시마산회원구,35.243565,128.587474,,,,,경남 창원시 마산회원구 합성동 132-8
합정동 모바일 캠프,캠프,서울특별시 마포구 합정동 359-1,서울,서울특별시,마포구,37.545749,126.917071,,,,,서울 마포구 합정동 359-1
향양리 모바일 캠프,캠프,경기도 파주시 파주읍 향양리 320 (주차가능),경기북부,경기도,파주시,37.844575,126.811976,,,,,경기 파주시 파주읍 향양리 320
호원동 모바일 캠프,캠프,경기도 의정부시 호원동 284-1(호암로 213),경기북부,경기도,의정부시,37.719836,127.045337,,,,,경기 의정부시 호원동 284-1
회동동 모바일 캠프,캠프,부산광역시 금정구 회동동 148-1,부산,부산광역시,금정구,35.228777,129.123188,,,,,부산 금정구 회동동 148-1
LX 판토스 인천센터,기타,인천 중구 공항동로296번길 98-30,인천,인천광역시,영종구,37.478278,126.479640,,,,,인천 영종구 공항동로296번길 98-30
인천세관본부,기타,인천광역시 중구 운서동 2842-7,인천,인천광역시,영종구,37.472328,126.471362,,,,,인천 영종구 운서동 2842-7
허브넷(세관),기타,인천광역시 중구 운서동 2842-7,인천,인천광역시,영종구,37.472328,126.471362,,,,,인천 영종구 운서동 2842-7
